	ru	en
MN_PLAY	Играть	Play
MN_SETTINGS	Настройки	Settings
MN_CREDITS	Другое	Credits
MN_QUIT	Выйти	Quit
MN_RETURN	Вернуться	Return
MN_FULLSCREEN	Полн. экран	Fullscreen
MN_VSYNC	Вер. синхр.	V-Sync
MN_SOUNDS	Гр. звуков	Sounds Vol.
MN_LANGUAGE	Язык	Language
MN_MUSIC	Гр. музыки	Music Vol.
MN_ENABLED	Включено	Enabled
MN_DISABLED	Выключено	Disabled
MN_LOSTGAME	Игра не сохраняет ваш прогресс	The game is not saving your progress
MN_LOSTSETTINGS	Игра не сохраняет настройки при перезапуске	Game doesn't save settings on restart
LO_ENGLISH	Английский	English
LO_RUSSIAN	Русский	Russian
PS_TOSAVE	Перезапустить	Restart
PS_CONTINUE	Продолжить	Continue
PS_EXIT	Выйти	Quit
AL_CANTGO	Галотир не может покинуть это место сейчас	Galothir cannot leave this place now
AL_SAVE	Игра сохранена	Game saved
AD_SINLESS_NAME	Безгрешный	Sinless
AD_DISCO_NAME	Дискотека	The Discotheque
AD_KING_NAME	Разговоры по душам	Sincere Conversation
AD_SUIT_NAME	Прикрыть торс	Cover The Torso
AD_GHUNTER_NAME	Грифоны навсегда	Griffins Forever
AD_SCRYSTAL_NAME	Супер-кристалл	The Super Crystal
AD_SINLESS_DESC	Не убейте никого до конца игры	Don't kill anyone until the end of the game
AD_DISCO_DESC	Посетите местную дискотеку	Visit a local disco
AD_KING_DESC	Поговорите с королём	Talk to the king
AD_SUIT_DESC	Найдите верхнюю одежду	Find outerwear
AD_GHUNTER_DESC	Поговорите с охотником на грифонов	Talk to the griffin hunter
AD_SCRYSTAL_DESC	Найдите секретный супер-кристалл	Find the secret super crystal
TI_ADVANCEMENTS	Достижения	Advancements
TI_DEVELOPERS	Разработчики	Developers
TI_IDEA	Идея: Денис Луценко	Idea: Denis Lutsenko
TI_CODE	Код: TripleFilterDev	Code: TripleFilterDev
TI_ARTWORK	Арт: Денис Луценко	Artwork: Denis Lutsenko
TI_MUSIC	Музыка: TripleFilterDev	Music: TripleFilterDev
TI_GAMEDESIGN	Геймдизайн: Денис Луценко	Game Design: Denis Lutsenko
TI_NARRATION	Повествование: TripleFilterDev	Narration: TripleFilterDev
TI_SPECTHANKS	Благодарность	Special Thanks
TI_SPECTHANKSDESC	Тестирование: Bleasdale, ZaharOS, Wismm, mejnav	Tested by Bleasdale, ZaharOS, Wismm, mejnav
IN_CREDITS	Игра создана Денисом Луценко и TripleFilterDev (Шевченко Никита). % Год выпуска - 2023. Версия - 1.00. % Переведена на английский и русский языки. % % Социальные сети: % % Денис Луценко, E-Mail: den.lutsenko.89@mail.ru % TripleFilterDev, E-Mail: triplefilterdev@gmail.com % Денис Луценко, Twitter: https://twitter.com/lutsenko_den % TripleFilterDev, Telegram: https://t.me/triplefilterdev % Home Studios, VK: https://vk.com/home_studios % % Тестировал Bleasdale. % % Сделано на Godot Engine. % % Большинство звуков сгенерировано с помощью Bfxr. % %  Используется шрифт F77 Minecraft by Se7enty-Se7en. Лицензия CC BY-ND 3.0.% %  Используется палитра Slso8 от Luis Miguel Maldonado. %	The game was created by Denis Lutsenko and TripleFilterDev (Nikita Shevchenko).% Year of release - 2023. Version - 1.00.% Translated into English and Russian.% % Contact us:% % Denis Lutsenko, E-Mail: den.lutsenko.89@mail.ru % TripleFilterDev, E-Mail: triplefilterdev@gmail.com % Denis Lutsenko, Twitter: https://twitter.com/lutsenko_den % TripleFilterDev, Telegram: https://t.me/triplefilterdev % Home Studios, VK: https://vk.com/home_studios % % Tested by Bleasdale.% % Made with Godot Engine.% % Most of the sounds are generated with Bfxr.% % The font used is F77 Minecraft by Se7enty-Se7en. License CC BY-ND 3.0.% % The Slso8 palette by Luis Miguel Maldonado is used.%
HL_0	И вновь я здесь. Кажется, здесь можно было как-то перемещаться... Например, использовать левый джойстик и стрелочки для управления своим бренным телом... И да, надо не забывать нести валун у меня в руках. Похоже, без него я никуда не смогу уйти.	And here I am again. It seems like there should be a way to move around here... For example, using left joystick, and D-Pad to control my mundane body... And yes, I shouldn't forget to carry the boulder in my hands. It seems like I won't be able to go anywhere without it.
HL_1	Эти булыжники мне до боли знакомы. Да, точно, их же можно перемещать! Можно ненадолго выпустить валун из своих рук и подбирать другие выделенные объекты, используя B или Y. Удивительно!	These boulders are painfully familiar to me. Yes, exactly, they can be moved! I can briefly release the boulder from my hands and pick up other highlighted objects using B or Y. How amazing!
HL_2	Кусты снизу выглядят опасно. Логические связи в моей голове подсказывают, что можно попробовать сделать мост из булыжников, чтобы перебраться с камнем на другую сторону. Что же, приступим.	The bushes below look dangerous. Logical connections in my mind suggest that I can try to build a bridge using the boulders to cross to the other side. Well then, let's get started.
HL_3	Никогда не забуду, что можно прыгать в два раза выше! Похоже, это у меня в крови.	I will never forget that you can jump twice as high! This seems to be my talent.
HL_4	Сыр выглядит заманчиво. И не только для меня. А какой запах! В любом случае я всегда могу его бросить, используя A. Но, мне кажется, не стоит этого делать без необходимости.	The cheese looks tempting. And not just for me. And the smell! Anyway, I can always throw it using A. But I feel like it's best not to do it unless necessary.
HL_5	Когда я вижу сыролюдей, во мне просыпается ярость. Я хочу их убивать, выкашивать целыми поселениями. Надо как можно быстрее найти то, чем их можно раздавить.	When I see the cheese people, rage awakens within me. I want to kill them, decimate their entire settlements. I need to find something to crush them as quickly as possible.
HL_6	Милые собачки! Но я хочу их убить. Надо приманить их сыром и яростно раздавить булыжником. Без вариантов.	Cute little dogs! But I want to kill them. I need to lure them with cheese and mercilessly crush them with a boulder. No other options.
HL_7	Говорят, лишь около неба находится всё самое ценное. Когда-нибудь я это проверю.	They say that only near the sky lies everything valuable. Someday I will test that.
HL_8	Голоса в голове говорят, что я могу прыгать и в два раза выше! Если ничего не буду нести, конечно. Странным образом то, что я несу в руках, влияет и на высоту прыжка.	The voices in my head say that I can jump twice as high! If I don't carry anything, of course. Strangely enough, what I hold in my hands affects the height of my jump.
CH_MAIN	Галотир	Galotir
CH_CASUAL	Секьюрити	Security Guard
CH_GOD	Ты	You
CH_HUNTER	Охотник	Hunter
CH_TRADER	Торгаш	Trader
CH_SON	Сын	Son
CH_GIRLFRIEND	Мадлина	Madlina
CH_KING	Король	King
DL_0_0	О, я тебя давно ждал!	Oh, I've been waiting for you for a long time!
DL_0_1	Меня?	Me?
DL_0_2	Да, ты же Великий Носильщик Камня.	Yes, you're the Great Stone Carrier.
DL_0_3	Это моя работа или что-то типо того?	Is this my job or something like that?
DL_0_4	Нет, не думаю. Это скорее... твоё хобби... или призвание?	No, I don't think so. It's more like... your hobby... or calling?
DL_0_5	И много я таких камней перетаскал?	Have I carried many stones like that?
DL_0_6	В жизни - да. А сейчас это твой последний раз.	In life - yes. But now it's your last time.
DL_0_7	Почему?	Why?
DL_0_8	Ты больше не сможешь таскать камни, я думаю. Ты устал.	I think you won't be able to carry stones anymore. You're tired.
DL_0_9	Но я не чувствую, что я устал.	But I don't feel tired.
DL_0_10	Однако, ты устал. Ты таскаешь камни всю свою жизнь.	However, you are tired. You've been carrying stones your whole life.
DL_0_11	Ты таскаешь камни раз за разом, и всё ждёшь чего-то иного.	You carry stones time after time, still waiting for something else.
DL_0_12	Но ничего на этот раз также не произойдёт. Или произойдёт.	But nothing will happen this time either. Or maybe it will.
DL_0_13	Если честно, я не знаю.	Honestly, I don't know.
DL_0_14	А кто знает?	Who knows then?
DL_0_15	Ты знаешь. Ты же делал это много раз. Десятки камней.	You know. You've done it many times. Dozens of stones.
DL_0_16	По одному и тому же пути.	Along the same path.
DL_0_17	Правда раньше ты не встречал меня.	Though you haven't met me before.
DL_0_18	А кто ты?	Who are you then?
DL_0_19	Боюсь, я твоё сознание. Я должен каждый раз заставлять тебя таскать камни.	I'm afraid I'm your consciousness. I have to make you carry the stones every time.
DL_0_20	Должно быть, это нелёгкая работа.	It must be a tough job.
DL_0_21	Я занимаюсь этим бесплатно. Это не работа. Это также моё призвание.	I do it for free. It's not a job. It's also my calling.
DL_0_22	В общем, мы ещё будем встречаться.	Anyway, we'll meet again.
DL_0_23	Пожалуйста, давай не как в прошлые разы. Не заставляй меня снова делать выбор.	Please, let's not be like in the past. Don't make me make the choice again.
DL_0_24	А какой выбор ты делал раньше?	What choice did you make before?
DL_0_25	Заставлял таскать тебя камни...	I made you carry the stones...
DL_1_0	Скоро ты встретишь её.	Soon you will meet her.
DL_1_1	А потом всё. Твой судный час.	And then everything will end. Your judgment day.
DL_1_2	А что будет?	What will happen?
DL_1_3	Наверное, я решу твою судьбу.	I will probably decide your fate.
DL_1_4	Если ты сам не возьмёшь себя в руки.	If you don't take control of yourself.
DL_1_5	А практика показала что не возьмёшь.	And practice has shown that you won't.
DL_1_6	И что мне делать?	What should I do then?
DL_1_7	Раз за разом пытаться таскать камень, наверное.	Keep trying to carry the stone time after time, I suppose.
DL_1_8	А если я не хочу?	But what if I don't want to?
DL_1_9	Ты был создан, чтобы таскать камни.	You were created to carry the stones.
DL_1_10	Камни могут выйти из твоей жизни, но ты всё ещё будешь к ним привязан.	The stones may exit your life, but you will still be attached to them.
DL_1_11	Если честно, мне всё равно.	Honestly, I don't care.
DL_1_12	Ну раз всё равно. Что же, делай что делаешь.	Well, if you don't care. Then do what you do.
DL_2_0	Добрый день!	Good day!
DL_2_1	Весьма добрый.	Quite a good one.
DL_2_2	Можно мне пройти?	Can I pass through?
DL_2_3	Мне кажется, что нет.	I don't think so.
DL_2_4	Почему? Мне кажется, я тот, кто здесь нужен.	Why? I think I'm the one who's needed here.
DL_2_5	О нет, я так не думаю. На тебе даже одежды нет.	Oh no, I don't think so. You don't even have any clothes on.
DL_2_6	И что с того?	So what?
DL_2_7	Послушай... ты отличаешься от остальных.	Listen... you stand out from the others.
DL_2_8	А ещё на тебе нет одежды. Накинул бы на себя хоть что-то.	And you don't even have any clothes on. You should at least put something on.
DL_2_9	А что, если мне неоткуда её взять?	What if I have nowhere to get them from?
DL_2_10	Тогда предлагаю забыть тебе об этом месте.	Then I suggest you forget about this place.
DL_2_11	Оно не для тебя.	It's not for you.
DL_2_12	Понятно.	Understood.
